,html,position,location,company,jobreq
307,data/html_job_postings/ce5b7d0556c5eb11_fccid.html,clinical data analyst (intern),"Alameda, CA",,"['\nAssist in study database design activities, including form design and edit check programming', '\nAdhere to data collection requirements, such as eCRFs, data validation, and collection of external data, for assigned studies', '\nExecute tests scripts, testing activities, test plans, and reports for database quality validation and user acceptance testing to ensure accurate database structure and appropriate data collected', '\nEvaluate data errors and collection issues; provide guidance and recommendations to clinical team for resolution', '\nAssist in Site/User Administration to allow access to the database, ensuring that all users are qualified to access clinical systems', '\nProvide data management expertise necessary to bring clinical studies on line, including establishing and maintaining project timelines, convening project team meetings, and communicating with stakeholders', '\nLead the development of data management plans (DMPs), training materials and user aids in compliance with regulations', '\nAssist in review of SOPs, work instructions, and associated documents\n', 'Work collaboratively with internal team members to meet project deliverables and timelines for data monitoring and reporting', '\nIdentify trends, outliers, or shifts within a study or across studies using analytics\n', ""\nCompleted at least 3+ years of Bachelor's education before beginning internship."", '\nBachelor’s or Master’s student in statistics, biostatistics, mathematics, economics, physics, or computer science related.\n', 'Sound technical skills and communication ability, both oral and written.', '\nExperience with analytic software applications such as Tableau, R, SAS, SQL, Python, Google Bigquery, Amazon Redshift, Looker, Mode Analytics, MatLab, C++.', '\nExperience with data visualization, dashboarding and analytical report building is a plus.', '\nAnalytical and problem solving mindset to help others not just make reports based on requirements, but solve their underlying problems.', '\nA collaborative teamwork environment where learning is constant and performance is rewarded.', ""\nThe opportunity to be part of the team whose technology is revolutionizing the treatment of some of the world's most devastating diseases.""]"
308,data/html_job_postings/240c3e429d07df45_fccid.html,"data scientist, analytics","Menlo Park, CA",New Product Experimentation,"['\nWork independently to design, prototype, and implement complex exploratory analyses', ""\nPartner with relevant engineering, data science and machine learning teams within Facebook to uncover and analyze data relevant to informing the direction of NPE's future"", '\nPlan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering, to data processing and modeling', '\nEffectively communicate insights and recommendations to support decisions on future research directions', '\nDegree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research)', '\n5+ years of scripting experience with one of these languages (PHP, R, PYTHON)', '\n5+ years of SQL experience', '\n3+ years of experience with machine learning', '\nExperienced with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2', '\n5+ years of data mining/analytics experience', '\nExperience with distributed computing (Hive/Hadoop/Spark)', '\nComfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources', '\nExperience with applying modern machine learning techniques and/or collaborating with ML scientist', '\nAbility to communicate complex research in a clear, precise, and actionable manner']"
309,data/html_job_postings/5ff80403645bb46e_fccid.html,data scientist,Remote,,"['Identify valuable data sources and automate collection processes', 'Undertake preprocessing of structured and unstructured data', 'Analyze large amounts of information to discover trends and patterns', 'Build predictive models and machine-learning algorithms', 'Combine models through ensemble modeling', 'Present information using data visualization techniques', 'Propose solutions and strategies to business challenges', 'Select and use the right tools, frameworks, languages, and technologies for the job, with a preference for open-source solutions', 'Collaborate with others as part of a cross-functional team that includes user experience researchers and designers, product managers, engineers, and other functional specialists', ""Represent Skylight's culture of delivery when interacting with government stakeholders and other contractors"", 'In-depth knowledge of computer science, statistics, and/or mathematics', 'Experience using advanced statistical and data-mining techniques such as regression, properties of distributions, and statistical tests', 'Expertise in programming languages/frameworks such as Java/Scala, R, Python, and SQL', 'Experience with distributed data/computing tools such as Spark, Hadoop, and Hive', 'Experience using web services such as Redshift and S3', 'Expertise in machine learning and deep-learning libraries such as Scikit-Learn, TensorFlow, Keras, PyTorch, and Apache Spark MLlib', 'Experience using business intelligence tools such as Tableau, SAS, Microstrategy, and Looker', 'Experience working with notebooks such as Jupyter, Zeppelin, and Databricks Notebook', 'Experience visualizing/presenting data to stakeholders using tools such as Matplotlib, Seaborn, and D3', 'Strong analytical and problem-solving skills', 'Strong business acumen and curiosity\n', 'A drive to learn and master new technologies and techniques', 'Ability to select and use the right tools for the job, particularly open-source solutions', 'Ability to communicate clearly to technical and non-technical audiences', 'Experience working within a multidisciplinary, agile team format', 'A mindset and work approach that aligns with our core values (https://skylight.digital/culture/)\n', 'Able to travel from time to time', 'Competitive salary', 'Profit-sharing and/or bonus opportunities', 'Health insurance, including medical, dental, vision, and more', '401k match at 10% of your salary', 'Unlimited paid time-off policy', '$2,000 continuing education allowance, including conference events', 'Incentives for living in a HUBZone area (https://maps.certify.sba.gov/hubzone/map), including relocation assistance and a monthly stipend to help offset the cost of rent or mortgage. (Read more about us being a HUBZone: https://skylight.digital/about/#hubzone.)', 'Time to focus on activities such as learning & development, open-source projects, and community outreach', 'An environment that empowers you to unleash your superpowers for public good']"
311,data/html_job_postings/4db411b0ea1e8e33_fccid.html,data engineer,"Oakland, CA",,"['Create and maintain automated data flows', '\nIdentify, design, and implement internal process improvements in automating manual processes.\n', 'Query, analyze and transform large spatial datasets\n', 'Find and build real-world data sets for training various models, doing quality checks and anomaly detection.\n', 'Create data validation, analytics, visualization and monitoring tools for our Data Science team that assist them in building and optimizing our data flows.\n\n', '\nBS / MS in Mathematics, Computer Science or an Engineering discipline from a top university.\n', '3+ years of experience in data science and/or statistics, using languages such as Python and C++.\n', '2+ years of experience in SQL and relational databases (PostgreSQL preferred), and good understanding of relational concepts.\n', 'Expertise with GIS analysis and technology\n', 'Experience with scalable cloud-based solutions (e.g. AWS, Redshift, S3, Spark, GCP)\n', 'Experience using libraries such as shapely, pandas, numpy, PySAL Intermediate-level experience working with spatial databases, specifically postgreSQL databases and postGIS functionality; also interested in experience with similar technologies including RDBMS/ArcSDE/geodatabases.', 'Experience building high performance batch and real-time data processing pipelines (MapReduce, Hadoop, HBase/Cassandra, Beam, Spark, Samza etc)\n', 'Experience building and managing large-scale geospatial data systems (mapping, navigation, GIS, routing, fleet management)\n']"
313,data/html_job_postings/70ff1a8174eaf3e8_fccid.html,part-time instructor of statistics for data science and machine learning,"San Francisco, CA 94105",,['The Instructor I is responsible for teaching classes within the guidelines of the established curriculum. They are also responsible for several administrative responsibilities outside of the classroom. Instructors help students achieve their academic goals.']
317,data/html_job_postings/ac94ef7b1f624c7e_fccid.html,data scientist (analytics),"Los Angeles, CA",,"['\nPartner with product, engineering, operations and finance teams to find opportunities, make smart trade-offs, and understand customer impact of new features', '\nUse data to inform, influence, support, and execute our product decisions', '\nCraft statistical models to gain insights from data and communicate results to partners', '\nBuild pipelines to automate generation of metrics to guide the business', '\nBecome a domain expert in real-estate', '\n3+ years of relevant work experience', '\nComfort and experience building complex SQL queries', '\nDeep understanding of statistics(e.g. hypothesis testing and regressions)', '\nFamiliarity with ETL design and analytics workloads, preferably experience in building maintainable pipelines', '\nHighly self-motivated with the desire to solve open-ended problems', '\nResourcefulness, pragmatism, and ability to drive business impact', '\nStrong verbal, written, and interpersonal communication skills', '\nYou have experience in experimental design and interpretation', '\nYou love delighting customers with honest transparent products and experiences', 'Full medical, dental, and vision with optional 70% coverage for dependents', 'Flexible vacation policy', 'Educational budget to invest in your career development and growth', 'Fitness/Commuter Benefit stipend', 'Generous parental leave', 'Paid time off to volunteer']"
319,data/html_job_postings/81a6f413982ae089_fccid.html,data scientist,"San Francisco, CA",,"[""Understand business stakeholders' needs and translate those into a data insights program with solutions for each stakeholder"", 'Deliver on data analytics and insights by planning and performing end-to-end analysis: including aggregating and processing data, exploring data, building and validating predictive models, and presenting to business.', 'Analyze our existing data model/structure and provide recommendations to the Tech team for optimization to support our data strategy', 'Design and implement statistical algorithms and predictive analysis', 'Explain data analytics and data science findings and machine learning models to internal and external stakeholders', 'Work with Data Analysts, Product Managers and Software Engineers to gather data insight requirements, set goals and influence the product roadmap.', 'B.S. or M.S. in computer science, Mathematics, Statistics, Physics, Economics or equivalent experience', '4+ years of industry experience in predictive analysis and modeling, data analysis and science', '3+ years of industry experience in data analytics', 'Knowledge of data engineering, database architecture and ETL process', 'Experience building ML models', 'Proficient in either Python or R or both.', 'Experience using ML libraries such as scikit-learn, caret', 'Knowledge of machine learning frameworks and toolsets', 'Experience writing and optimizing SQL', 'Experience using data visualization tools.', 'Experience presenting data findings', 'PhD in computer science, Mathematics, Statistics, Physics, Economics, Bio-Engineering/Science field', '6+ years of industry experience in predictive analysis and modeling, data analysis and science', '4+ years of industry experience in data analytics', 'Proven ability to tackle business problems with data science solutions', 'Expert programming skills in Python and/or R', 'Proficient programming skills in Javascript or JAVA', 'Ability to develop analytic plans for data modeling process', 'Ability to accurately determine correlations', 'Experience with AWS data technologies such as Redshift, S3, Data Pipeline', 'Experience with Tableau', 'Ability to think critically', 'Ability to translate business problems into data questions, create solutions and drive results', 'Ability to aggregate and analyze data from multiple data sources and build a holistic view', 'Ability to build clear visualizations to explain complex ideas and analysis result to executives and business unit leaders', 'Ability to provide guidance to other program and project managers', 'Ability to resolve conflicts and negotiate agreement', 'Ability to proactively identify impediments in project/program delivery and craft solutions.', 'Ability to set metrics for the project and program for performance and goals.', 'Strong written and oral communication skills', 'The incumbent is required to work under the guidance and direction of the VP, Engineering with little to minimal supervision.', 'No direct reports']"
320,data/html_job_postings/e522b972d4e25e73_fccid.html,"software engineer, data pipelines","San Francisco, CA",,"['\nBuild and maintain performant and reliable data pipelines in service of machine learning and predictive analytics.', '\nBuild and maintain systems to normalize and aggregate data across a wide variety of sources.', '\nBuild and maintain automated processing pipelines and big data infrastructure to operate and configure production clusters and data orchestration services.', '\nHave a B.S., M.S. or Ph.D. in Computer Science or equivalent degree and work experience', '\n6+ years of data focused, professional or open source, software engineering experience', '\nStrong communication skills to facilitate working closely with data scientists, product managers, and business team', '\nExcellent software engineering skills and strong fundamentals in algorithms, data structures, system design, and big data concepts', '\nStrong experience with distributed systems', '\nSignificant experience with our stack (python3, pandas, scikit-learn, spark, airflow, docker, AWS ecosystem) or comparable stack', '\nEmbed with data science team to help bring ML model into production. This includes understanding model training and feature engineering process, identifying performance bottlenecks and suggest alternatives, apply software engineering best practices, and help define broader validation and verification strategies.', '\nBuild ML model evaluation system to help us catch training and scoring anomalies.', '\nBuild data pipeline for new sources. Work through normalization and interpolation challenges to enable smooth integration with our other data assets that enable Helio.', '\nDesign new or improve on existing data access patterns to enable other engineers, data scientists, and business users to more easily derive value from our data repository.']"
322,data/html_job_postings/95d6cef82471f3b6_fccid.html,senior data scientist,"Alexandria, VA",,"['Lead and perform hands-on analysis and modeling involving the creation of intervention hypotheses and experiments, assessment of data needs and available sources, determination of optimal analytical approaches, performance of exploratory data analysis, and feature generation (e.g., identification, derivation, aggregation)\n', 'Collaborate with mission stakeholders to define, frame, and scope mission challenges where big data interventions may offer important mitigations and develop robust project plans with key milestones, detailed deliverables, robust work tracking protocols, and risk mitigation strategies\n', 'Demonstrate proficiency in extracting, cleaning, and transforming CBP transactional and mission data associated within an identified problem space to build predictive models as well as develop appropriate supporting documentation\n', 'Leverage expert knowledge of a variety of statistical and machine learning techniques and methods to define and develop programming algorithms; train, evaluate, and deploy predictive analytics models that directly inform mission decisions\n', 'Execute projects including those intended to identify patterns and/or anomalies in large datasets; perform automated text/data classification and categorization as well as entity recognition, resolution and extraction; and named entity matching\n', 'Brief project management, technical design, and outcomes to both technical and non-technical audiences including senior government stakeholders throughout the model development/ project lifecycle through written as well as in-person reporting\n', '8+ years of experience developing machine learning models and applying advanced analytics solutions to solve complex business problems\n', 'Proficiency with statistical software packages: SAS, SPSS Modeler, R, WEKA, or equivalent\n', 'Experience with programming languages: R, Python, Scala, Java, SQL, or equivalent\n', 'Experience constructing and executing queries to extract data in support of EDA and model development\n', 'Experience with unsupervised and supervised machine learning techniques and methods\n', 'Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases\n', 'Experience performing data mining, analysis, and training set construction\n', 'Bachelor’s Degree (required), Master’s or Ph.D. degree (preferred) in operations research, industrial engineering, mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience\n', 'Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop)\n', 'Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.\n', 'Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.\n', 'Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation)\n', 'Experience working in a team and deploying solutions in an iterative or agile/DevOps continuous integration and delivery environment using lifecycle management methods and tools\n', 'Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI)\n']"
326,data/html_job_postings/da99221f19f5943a_fccid.html,data scientist,"Cary, NC",,"['Process and analyze large volumes of (customer) data.', '\nTranslate customer business needs into data requirements and analytical techniques.', '\nBuild predictive models with advanced machine learning algorithms such as Neural Networks, Decision Trees, Boosting/Ensemble methods, and Clustering.', '\nBuild forecasting models using time series modeling techniques such as ARIMA, Exponential Smoothing, VARMAX, etc.', '\nDemonstrate proficiency in use of Base SAS software/SAS STAT/SAS ETS/SAS Forecast Server procedures.', '\nInteract with customers from the data analysis stage to the final report presentation.', '\nAssist in technical sales support as needed.', '\nConstantly innovate by building new variables; improve modeling techniques to boost model performance; maintain and refine the processes and procedures for building high-end analytic modeling solutions.', '\nWrite coherent reports and make presentations on high-end analytical projects.', 'You’re curious, passionate, authentic, and accountable. These are our values and influence everything we do.', ""\nYou have a master's degree in statistics, mathematics, computer science, engineering, the physical sciences, or any other quantitative field."", '\n3+ years of experience analyzing data and/or building analytical models, including at least one year using the SAS system; in either an academic or professional setting.', '\nKnowledge of multiple operating systems (Windows, Unix/Linux).', '\nProficiency with 1 or more of the following Programming or Scripting languages: R, SAS, Python, MATLAB.', '\nKnowledge of at least some supervised and unsupervised modeling techniques such as Logistic/Linear Regression, SVMs, Neural Networks / Deep Networks, Boosting/Ensemble methods, Decision Trees, and/or Clustering, as well as Time Series forecasting and/or Econometrics.', '\nAbility to manage very large amounts of data.', '\nPhD in applied statistics, mathematics, computer science, engineering, or the physical sciences.', '\nIndustry experience in mathematical/statistical modeling, pattern recognition, forecasting, or data mining/data analysis.', '\nRelevant experience in the retail and/or consumer package goods industries.', '\nExtensive experience in data management, deployment and product support for advanced analytic solutions.', '\nExperience implementing analytical solutions in SAS Viya using SAS Visual Forecasting and/or Visual Data Mining and Machine Learning.', '\nExcellent programming skills and knowledge of SAS and scripting languages.', '\nExperience leading services that contain a statistical/analytical component.', 'Excellent written and verbal communication skills.', '\nAbility to think analytically, write and edit technical material, and relate statistical concepts and applications to technical and business users.', '\nAbility to work both independently and in a team environment.', '\nAbility to travel as business requirements dictate.', '\nThis position will require travel, mostly to customer sites (up to 25% travel).', '\nYou may work at the Cary, NC HQ (preferred location) or you may work remotely from anywhere in the Continental U.S.', '\nWe love living the #SASlife and believe that happy, healthy people have a passion for life, and bring that energy to work. No matter what your specialty or where you are in the world, your unique contributions will make a difference.', '\nOur multi-dimensional culture blends our different backgrounds, experiences, and perspectives. Here, it isn’t about fitting into our culture, it’s about adding to it - and we can’t wait to see what you’ll bring.']"
327,data/html_job_postings/757cb0d3849d0570_fccid.html,machine learning,"Santa Clara Valley, CA 95014",Operations,"['\nHands-on experience with design, implementation and application of ML/AI/Deep Learning techniques for solving real problems.', '\nExperience with Computer Vision, and Deep Learning algorithms to identify patterns in images, specifically applied to industrial or manufacturing environments is a nice to have', '\nExperience in using deep learning frameworks such as PyTorch/Torch, Caffe2, TensorFlow, Keras and Theano', '\nAn inquisitive mindset and strong analytical skills for complex problem solving, and an aptitude for learning systems quickly.', '\nStrong software development skills with proficiency in Python', '\nApplied background in Hadoop, Spark, Hive, Cassandra, and knowledge of R is a plus', '\nExperienced user of machine learning and statistical-analysis libraries, such as GraphLab Create, scikit-learn, scipy, NetworkX, Spacy, and NLTK', '\nA proven track record for self-study and self-exploration into new tools and techniques', 'Ability to explain and present analyses and machine learning concepts to a broad technical audience.']"
329,data/html_job_postings/73f482c7ec0100a7_fccid.html,data scientist,"Pittsburgh, PA 15206",,"['Perform extensive exploratory data analysis (EDA) on many aspects of healthcare data', 'Conceptualize, develop, test, and refine predictive models to suggest actions for patients and physicians', 'Write Python code to do classification using machine learning algorithms', 'Test various machine learning and deep learning approaches to evaluate their efficacy', 'Communicate results and discuss options for improving models', 'Work with data engineers to add additional data sets for use in models', '2 years of experience (or significant academic coursework) with machine learning algorithms in Python (or R) for classification, e.g. logistic regression, random forest, decision trees, SVMs, etc.', 'Versatility with common data science libraries in Python (such as pandas or numpy) or R, in order to iterate and test new algorithms quickly', 'Experience with databases and SQL to query and analyze data', 'Use of data visualization tools (matplotlib, ggplot2, Excel, etc.) to display & analyze results', 'Detail orientation: ability to work carefully to achieve an accurate result', 'Solid communication skills: ability to prepare written material that communicates clearly and succinctly along with the ability to verbally describe results', 'Experience with other fields of machine learning including:', 'Deep learning approaches to classification/prediction', 'List-based ranking algorithms such as learning-to-rank', 'Unsupervised learning (k-means clustering, PCA, etc.)', 'Experience with big data platforms, especially Dask or Spark/Amazon EMR', 'Experience with healthcare data', 'Experience with Amazon Web Services (e.g. Amazon Redshift)', 'A great environment to start or continue your career - you will learn, put into practice, and improve modern data science and machine learning approaches.', 'Working hands-on with large healthcare data sets to solve real world challenges.', 'An important mission to make healthcare better by keeping patients healthy and physicians happy.', 'Health coverage, company equity, flexible PTO, team outings and more.']"
330,data/html_job_postings/d58d003e7fea3707_fccid.html,ew operations analyst,"El Segundo, CA",,"['\nMinimum of 10 years systems engineering and Electronic Warfare systems experience', '\nExperience with Military Operations Analysis', '\nExperience with modeling and simulation of EW systems', '\nKnowledge of standard government developed tools including AFSIM, Suppressor, Brawler, EADSIM, ESAMS or similar.', '\nProficiency with scientific computing environments, models, and/or simulations such as the following: MATLAB, Simulink, MathCAD, AREPS, and NVIPM', '\nDemonstrated ability to decompose a complex problem into an executable plan', '\nStrong technical writing and oral communication skills', '\nExperience in Numerical Optimization Techniques, Analysis of Alternatives, or Design of Experiments', '\nStrong grasp of mathematics and statistics, including multivariate calculus, linear algebra, probability and statistics', '\nU.S. Citizenship and ability to access to US only data systems', '\nU.S. Citizenship status is required as this position needs an active U.S. Security Clearance as of day one of employment.', '\nProficiency in Linux Environments.', '\nPossess a high degree of ingenuity, creativity, and resourcefulness', '\nAbility to understand tactics as described by military experts and to represent their employment (verbally, graphically, and in simulations)', '\nModel Bases Systems Engineering', '\nSystem Architecture', '\nAbility to apply analysis to support demonstration testing in a representative environment', '\nBS Degree in Science, Math, Engineering, or related technical field', 'MS Degree in Science, Math, Engineering, or related technical field']"
331,data/html_job_postings/b6590ace79f97088_fccid.html,data scientist,"New York, NY",,"['You’ll create innovative quantitative solutions and advance the state of indoor farming alongside mechanical engineers, agricultural scientists, and the farm operations team.', 'You’ll analyze historical data related to crop growth and environmental characteristics to forecast yields for future harvests and uncover insights about ways conditions can be optimized.', ""You’ll use the key drivers of Bowery's business and agricultural science to design experimental frameworks to ensure data integrity and empower us to more easily analyze and act upon data from new trials."", 'You’ll optimize work and production schedules to achieve the highest utilization of time and space in the farm.', 'You’ll help shape the way our data science team does work - researching and making key decisions about what we build, how we build it, and which tools are best for solving our problems.', 'You’ll work alongside software engineers to implement data processing and visualization systems that make data readily available and simplify how insights are communicated.', 'BA/BS in field which shaped your thinking around quantitative problems. Advanced degree and/or 4+ years industry experience preferred.', 'You have a strong mathematical background in probability, statistics, and optimization algorithms.', 'You have insight into building solutions to our fundamental agricultural challenges, either from training in a related field (e.g. biostatistics, genetics, biology) or through a deep passion in the area.', 'You are fluent in a scripting language such as Python or R for analysis and modeling.', 'You are proficient with query languages (SQL/Postgres) and maybe even dream in SQL', 'You have a deep understanding of and have applied various machine learning techniques for solving real-world problems.', 'You must be able to translate business and agricultural questions into data science problems, solve those problems, and interpret the output back into clear outcomes.', 'You are excited about how advancements in machine learning and IoT can work in harmony to improve the state of the planet.', 'You are confident taking ownership of projects from start to finish and enjoy the process of turning nebulous ideas into reality.', 'You believe that teams succeed and fail together and take responsibility for ensuring the success and safety of your teammates.']"
332,data/html_job_postings/7b62436d86347e82_fccid.html,natural language processing data scientist- audit,"McLean, VA",,"[""Master's Degree in Statistics, Computer Science, Engineering, Mathematics, or a related field"", 'At least 2 years of experience in natural language processing or computational linguistics', 'At least 2 years of experience in machine learning and web scraping', 'At least 2 years of experience programming in Python, JavaScript or Scala', 'At least 2 years experience working with cloud platform like AWS or Azure', 'Ph.D. in artificial intelligence, machine learning, natural language processing, or computational linguistics', '2+ years of experience with agile software development', '2+ years of experience with GitHub', '2+ years of experience with Kibana or D3.js', '4+ years of experience performing research in syntactic parsing, semantic parsing, natural language generation, topic modeling, fuzzy matching, textual entailment, word embedding, cluster analysis, principal component analysis, and time series analysis', '4+ years of experience programming in Python in an integrated development environment', 'Hold AWS Certificates']"
333,data/html_job_postings/b11e828d7fca6ff5_fccid.html,data and evaluation specialist,"Hyattsville, MD 20783",,"['Entering programmatic and evaluation data into Salesforce (CASA internal database)', 'Maintaining data-quality standards and analyzing data in CASA’s data management system; Salesforce', 'Building and updating data collection instruments in platforms such as Survey Monkey, and Salesforce', 'Preparing regular and ad-hoc reports, data-pulls, and factsheets on CASA’s activities and services using Salesforce, Excel, and Google platforms', 'Developing training to staff on Salesforce and the importance of data and evaluation', 'Providing research support to organization-wide fundraising proposals', 'Representing the organization as needed at meetings and forums', 'Providing staff technical assistance on data and evaluation', 'Other duties as assigned.', 'Bachelor’s in Public Policy, Latino Studies, Education, Sociology, Mathematics, Statistics, or Urban Studies required.', 'Valid UD Driver’s License and a reliable vehicle', 'Bilingual (English/Spanish), required', 'Strong writing and analytical skills;', 'Strong Excel skills (Tables and graphs, Pivot Tables, CSV import, formulas), preferred', 'Ability to explain data to non-data individuals;', 'Ability to manage multiple tasks and deadlines;', 'Highly organized, high level of attention to detail;', 'Experience working with databases and data research, preferred;', 'Experienced with CRM Salesforce, preferred but not required;', 'Positive attitude toward learning, adaptability and teamwork; and', 'Strong commitment to social justice and immigrant rights']"
335,data/html_job_postings/fd86dff3ba3f4abb_fccid.html,natural language processing and machine learning engineer,"Seattle, WA",,"['\nAcademic / Industry experience in NLP and Machine Learning, or similar experience in developing language technologies for shipping products.', '\nStrong coding and software engineering skills in a mainstream programming language, such as Python, Java, C/C++.', '\nFamiliarity with NLP/ML tools and packages like Caffe, pyTorch, TensorFlow, Weka, scikit-learn, nltk, et al.', '\nPractical experience building production quality applications related to natural language processing and machine learning.', '\nIn-depth knowledge of machine learning algorithms and ability to apply them in data driven natural language processing systems.', '\nAbility to quickly prototype ideas / solutions, perform critical analysis, and use creative approaches for solving complex problems.', '\nAbility to collaborate closely with cross-functional teams', '\nClear oral and written communication']"
336,data/html_job_postings/5e4b331354bcdf4e_fccid.html,"data scientist, principal/sr. principal","Monterey, CA 93940",,"[""\nBachelors degree in a STEM related discipline, plus5 years applicable experience or a Master's with3 years experience applicable experience and/or a PhD with0 years experience; degree must be from an accredited college or university in Data Science, Statistics, Biostatistics, Applied Mathematics, Computer Science, Physics, Engineering, or other technical degree in a relevant field."", ""Bachelors degree in a STEM related discipline, plus9 years applicable experience or a Master's with7 years experience applicable experience and/or a PhD with4 years experience; degree must be from an accredited college or university in Data Science, Statistics, Biostatistics, Applied Mathematics, Computer Science, Physics, Engineering, or other technical degree in a relevant field."", '\nProficiency with data analysis', '\nExperience and proficiency with machine learning models, such as logistic regression, support vector machines, principal component analysis, clustering techniques (e.g., k-means, hierarchical), tree-based techniques, neural networks, and deep learning models.', '\nProficiency in Python', '\nSoftware Development Experience', '\nFamiliarity with databases and SQL.', '\nAbility to communicate results clearly and effectively.', '\nAbility to collaborate in a team environment.', '\nAbility to comprehend and analyze complex problems.', '\nU.S. Citizenship and the ability to obtain/maintain Department of Defense (DoD) Secret clearance is required.', ""\n5+ years of experience and a Master's Degree in Data Science, Statistics, Biostatistics, Applied Mathematics, Computer Science, Physics, Engineering, or Psychology."", '\nDemonstrated experience in Deep Learning: DNN, CNN, RNNs (LSTM), GANs', '\nExperience in Natural Language Processing', '\nExperience working in anomaly or rare event detection.', '\nFamiliarity with developing data visualization products in tools such as Tableau.', '\nStrong data visualization skills.', '\nExperience working with DoD customers.', '\nExperience with operational machine learning pipelines', '\nExcellent written and oral communication.']"
339,data/html_job_postings/99129b4fc0b2ade0_fccid.html,data scientist,"Cambridge, MA 02142",,"['Drive the development of new data-driven product capabilities based on your insights and analysis', '\nIdentify and execute on new product initiatives in partnership with Product Management and Engineering', '\nOwn all phases of of the machine learning process; explore & prepare training set, random sampling, model selection & development, model validation, implementation and monitoring', '\nWork directly with machine learning engineers to implement models, rules engines or other solutions derived from the data', '\n5+ years of experience with a degree in a relevant discipline', '\nMust have at least 3+ years of experience in each of the following skills:\nWriting complex SQL queries\nWorking with large datasets\nUsing a scripting language like Python for data analysis\nExperience using BI and visualization tools', '\nWriting complex SQL queries', '\nWorking with large datasets', '\nUsing a scripting language like Python for data analysis', '\nExperience using BI and visualization tools', '\nExcellent understanding of machine learning techniques and algorithms, such as Logistic Regression, Linear Regression, k-NN, Naive Bayes, etc.', '\nProven ability to perform statistical analysis and experience with tools such as SAS, R, Python or equivalent', '\nExperience with cloud computing services like AWS or Google Cloud', '\nAbility to collaborate effectively and work as part of a team', '\nExcellent communication skills', '\nPrior experience building software products for end users', ""\nWe offer everything you'd expect from a financially successful and profitable startup, and we've been going strong for ten years."", '\nGreat salary and stock options, comprehensive health care benefits, and a generous retirement plan match.', '\n28 days of paid vacation—that’s on top of team retreats and public holidays.', ""\nRemote-friendly culture. No matter where you are, you'll feel connected to the team. Over half of our employees work remotely. Your work experience is just as exciting, entertaining, and engaging wherever you choose to work from."", '\nFamily friendly. Flexible schedules along with generous maternity and paternity policies.', '\nFantastic professional training to keep your skills sharp.', '\nThe best tools and technology money can buy. Top of the line hardware, software, and whatever else you need to be awesome.']"
